"date","close","volume","open","high","low"
"16:00","372.24","7,438,701","376.67","378.88","369.73"
"2017/06/19","369.8000","6433434.0000","375.0000","376.7000","367.8000"
"2017/06/16","371.4000","6347450.0000","377.9750","378.0100","370.1000"
"2017/06/15","375.3400","10412650.0000","372.5000","375.4600","366.4900"
"2017/06/14","380.6600","12778480.0000","381.0850","384.2500","376.3100"
"2017/06/13","375.9500","11773370.0000","367.6200","376.0000","366.6100"
"2017/06/12","359.0100","10507860.0000","357.9900","364.5000","350.6200"
"2017/06/09","357.3200","17250060.0000","374.4200","376.8700","354.8000"
"2017/06/08","370.0000","9028677.0000","363.7500","371.9000","360.2200"
"2017/06/07","359.6500","9348692.0000","356.3400","360.5000","355.1400"
"2017/06/06","352.8500","11031920.0000","344.7000","359.4929","339.9700"
"2017/06/05","347.3200","6769174.0000","338.5000","348.4400","334.2100"
"2017/06/02","339.8500","5583952.0000","339.7700","342.8800","335.9300"
"2017/06/01","340.3700","7601764.0000","344.0000","344.8800","337.2900"
"2017/05/31","341.0100","9937556.0000","337.6900","342.8900","335.1600"
"2017/05/30","335.1000","7771536.0000","326.0000","336.2800","325.7600"
"2017/05/26","325.1400","7793009.0000","317.2800","325.4900","316.3100"
"2017/05/25","316.8300","5000432.0000","311.0200","316.9700","307.8100"
"2017/05/24","310.2200","5035192.0000","306.5100","311.0000","305.4000"
"2017/05/23","303.8600","4314267.0000","310.4600","310.7300","303.4800"
"2017/05/22","310.3500","4324305.0000","312.8000","314.3700","306.8000"
"2017/05/19","310.8300","4654580.0000","315.5000","316.5000","310.2000"
"2017/05/18","313.0600","5609153.0000","307.0000","313.9400","305.3100"
"2017/05/17","306.1100","6695657.0000","314.3900","314.6300","305.5000"
"2017/05/16","317.0100","4141066.0000","317.5900","320.0600","315.1400"
"2017/05/15","315.8800","7606854.0000","318.3800","320.2000","312.5300"
"2017/05/12","324.8100","4118613.0000","325.4800","327.0000","321.5300"
"2017/05/11","323.1000","4747172.0000","323.4000","326.0000","319.6000"
"2017/05/10","325.2200","5734524.0000","321.5600","325.5000","318.1200"
"2017/05/09","321.2600","9663374.0000","309.3800","321.9900","309.1000"
"2017/05/08","307.1900","7002907.0000","310.9000","313.7900","305.8200"
"2017/05/05","308.3500","8117449.0000","298.0000","308.5500","296.8000"
"2017/05/04","295.4600","14135990.0000","307.4350","307.7700","290.7601"
"2017/05/03","311.0200","6879259.0000","317.6700","321.5300","310.4500"
"2017/05/02","318.8900","5316551.0000","324.0000","327.6599","316.5601"
"2017/05/01","322.8300","8819888.0000","314.8800","327.2500","314.8100"
"2017/04/28","314.0700","4496659.0000","309.8300","314.8000","308.0000"
"2017/04/27","308.6300","3462663.0000","311.6900","313.0900","307.5000"
"2017/04/26","310.1700","4683131.0000","312.3700","314.5000","309.0000"
"2017/04/25","313.7900","6734162.0000","308.0000","313.9800","305.8600"
"2017/04/24","308.0300","5077771.0000","309.2200","310.5500","306.0215"
"2017/04/21","305.6000","4501958.0000","302.0000","306.4000","300.4200"
"2017/04/20","302.5100","6145961.0000","306.5100","309.1500","300.2300"
"2017/04/19","305.5200","3891145.0000","302.4600","306.6200","302.1100"
"2017/04/18","300.2500","3034225.0000","299.7000","300.8399","297.9000"
"2017/04/17","301.4400","4128067.0000","302.7000","304.0000","298.6800"
"2017/04/13","304.0000","9275682.0000","296.7000","307.3900","295.3000"
"2017/04/12","296.8400","6043648.0000","306.3400","308.4481","296.3200"
"2017/04/11","308.7100","5718053.0000","313.3800","313.4700","305.5000"
"2017/04/10","312.3900","7653623.0000","309.1500","313.7299","308.7100"
"2017/04/07","302.5400","4566632.0000","297.5000","302.6900","297.1500"
"2017/04/06","298.7000","5517731.0000","296.8800","301.9400","294.1000"
"2017/04/05","295.0000","7858565.0000","302.0400","304.8800","294.2000"
"2017/04/04","303.7000","10108230.0000","296.8900","304.8100","294.5300"
"2017/04/03","298.5200","13864850.0000","286.9000","299.0000","284.5800"
"2017/03/31","278.3000","3293698.0000","278.7300","279.6800","276.3197"
"2017/03/30","277.9200","4141437.0000","278.0400","282.0000","277.2100"
"2017/03/29","277.3800","3672526.0000","278.3400","279.6000","275.5400"
"2017/03/28","277.4500","7978665.0000","277.0200","280.6800","275.0000"
"2017/03/27","270.2200","6221361.0000","260.6000","270.5700","259.7500"
"2017/03/24","263.1600","5637668.0000","255.7000","263.8900","255.0100"
"2017/03/23","254.7800","3309844.0000","255.3900","257.6720","253.3000"
"2017/03/22","255.0100","4056735.0000","251.5600","255.0700","250.5100"
"2017/03/21","250.6800","6901555.0000","262.8300","264.8000","250.2400"
"2017/03/20","261.9200","3601616.0000","260.6000","264.5500","258.8210"
